Stops,Website,Booked_on,Destination,Depart_date,Airline,Price
2,Kiwi.com,2/2/22,CAG,9/20/22,W6,Cheap
2,Kiwi.com,2/3/22,BOD,8/8/22,W6,Cheap
2,Kiwi.com,2/8/22,LWO,3/11/22,S7,Cheap
2,KupiBilet.ru,2/8/22,BRI,4/26/22,W6,Cheap
2,KupiBilet.ru,2/2/22,TLV,10/22/22,W9,Cheap
2,KupiBilet.ru,2/3/22,TPS,2/28/22,A3,Cheap
2,KupiBilet.ru,2/8/22,BRE,2/23/22,FR,Cheap
2,Kiwi.com,2/2/22,PMI,9/6/22,W6,Cheap
2,Kiwi.com,2/2/22,NAP,9/30/22,W6,Cheap
2,Kiwi.com,2/8/22,MAN,3/25/22,S7,Cheap
2,Kiwi.com,2/8/22,PAR,5/17/22,W6,Cheap
2,Kiwi.com,2/9/22,OSL,2/16/22,DP,Cheap
2,Kiwi.com,2/3/22,JTR,9/24/22,W6,Cheap
2,KupiBilet.ru,2/2/22,NCE,3/29/22,W6,Cheap
2,Trip.com,2/7/22,SCQ,2/14/22,A3,Cheap
2,Kiwi.com,2/8/22,MAD,5/31/22,S7,Cheap
2,Kiwi.com,2/9/22,BRI,5/11/22,W6,Cheap
2,Kiwi.com,2/3/22,BRI,10/14/22,W6,Cheap
2,Kiwi.com,2/8/22,RAK,3/18/22,FR,Cheap
2,Kiwi.com,2/6/22,PMO,10/20/22,W9,Cheap
2,Kiwi.com,2/5/22,MAN,10/6/22,W9,Cheap
2,Kiwi.com,2/7/22,LCA,10/9/22,W9,Cheap
2,KupiBilet.ru,2/9/22,LIS,2/21/22,A3,Cheap
2,KupiBilet.ru,2/9/22,VLC,2/21/22,A3,Cheap
2,KupiBilet.ru,2/8/22,GOA,3/18/22,S7,Cheap
2,Kiwi.com,2/9/22,RIX,5/19/22,N4,Cheap
2,Kiwi.com,2/8/22,VLC,10/4/22,W9,Cheap
2,KupiBilet.ru,2/7/22,EDI,2/28/22,A3,Cheap
2,Kiwi.com,2/8/22,TLS,3/18/22,S7,Cheap
2,Kiwi.com,2/9/22,WAW,4/5/22,W6,Cheap
2,Kiwi.com,2/7/22,TCI,3/20/22,W6,Cheap
2,Kiwi.com,2/5/22,BRS,3/18/22,S7,Cheap
2,KupiBilet.ru,2/9/22,PAR,7/11/22,W6,Cheap
2,KupiBilet.ru,2/8/22,WRO,2/21/22,A3,Cheap
2,Kiwi.com,2/9/22,ZAG,5/24/22,W6,Cheap
2,Kiwi.com,2/9/22,CAS,4/7/22,W6,Cheap
2,Kiwi.com,2/9/22,VRN,4/17/22,S7,Cheap
2,Kiwi.com,2/8/22,DUS,3/16/22,S7,Cheap
2,Kiwi.com,2/3/22,MAD,9/30/22,W6,Cheap
2,Kiwi.com,2/8/22,KRK,5/15/22,N4,Cheap
2,KupiBilet.ru,2/8/22,HAM,3/18/22,S7,Cheap
2,Kiwi.com,2/3/22,IBZ,7/3/22,W6,Cheap
2,Kiwi.com,2/8/22,BOD,3/18/22,S7,Cheap
2,Kissandfly,2/5/22,LUX,4/5/22,W6,Cheap
2,Kiwi.com,2/4/22,PMI,8/15/22,W6,Cheap
2,KupiBilet.ru,2/5/22,NOC,2/9/22,FR,Cheap
